"etats","19","5","10","7","50","32","33","55","31","45","3","30","6","15","13","41","42","47","16","4","18","9","22","17","40","0","23","21","20","24","43","1","36","12","44","8","38","37","46","2","14","34","35","11","39","$","elsif_expr_then_instr","elsif_expr_then_instr+","expr6","expr5","expr3","if_expr","expr4","expr2","exprp","instr","expr","fichier'","params","instr+","expr1","expr_virgule+","include_statement+","ident_virgule+","include_statement","procedure_statement","decl+","type","champs+","mode","champs","ident","param_points_virgule+","decl","param"
"I58","","","r67","","","r67","r67","","r67","r67","","r67","","","r67","","r67","","","","","","","r67","","r67","","","r67","","","","r67","","r67","","r67","r67","r67","","","r67","r67","","r67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I59","","","r71","","","r71","r71","","r71","r71","","r71","","","r71","","r71","","","","","","","r71","","r71","","","r71","","","","r71","","r71","","r71","r71","r71","","","r71","r71","","r71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d102","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I61","","","","","","","","","","","d106","","","","","","","","","d103","","","","","","","","","","","","","","","","","","","","d104","","","","","","","d107","d105","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I62","","","","","","","","d8","","","","","","","","","d108","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d109","","",""
"I63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d110","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I64","","","","","","","","","","","","","","","","","","","","d111","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I65","","","","","","","","","","","","","","","d85","","d112","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I66","","r87","","r87","","","","r87","","","r87","","","","","","","","","r87","r87","","","","","","r87","","","","","r87","","","","","","","","r87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I67","","","","","d58","","","d49","d60","","","","","","","","","","","","","","","","","","","","","","d51","","","d59","","","","","","","","","","d57","","","","","d47","d50","d52","","d55","d54","d53","","d113","","","","d56","d114","","","","","","","","","","d46","","",""
